Time,Z,X,Y
5.47,15.086288,6.209312,-0.572666
5.48,15.086155,6.204489,-0.575465
5.49,15.089092,6.206793,-0.580326
5.5,15.085868,6.207256,-0.582842
5.51,15.082622,6.200417,-0.581276
5.52,15.085168,6.209463,-0.583807
5.53,15.080194,6.208812,-0.577472
5.54,15.07398,6.202472,-0.575482
5.55,15.07486,6.203983,-0.586441
5.56,15.08862,6.21379,-0.592135
5.57,15.080472,6.205605,-0.579084
5.58,15.08126,6.205143,-0.580818
5.59,15.077491,6.198971,-0.585021
5.6,15.069365,6.18913,-0.591092
5.61,15.078543,6.202343,-0.576484
5.62,15.083355,6.20555,-0.574447
5.63,15.084309,6.208184,-0.577716
5.64,15.084146,6.21184,-0.576609
5.65,15.085142,6.207641,-0.579616
5.66,15.095027,6.222701,-0.593627
5.67,15.087256,6.221273,-0.574448
5.68,15.088376,6.20026,-0.599691
5.69,15.088264,6.213099,-0.573878
5.7,15.081269,6.197789,-0.588426
5.71,15.092078,6.221717,-0.580965
5.72,15.096802,6.223796,-0.577494
5.73,15.093175,6.217483,-0.575865
5.74,15.102161,6.226971,-0.59272
5.75,15.092972,6.211391,-0.577263
5.76,15.091389,6.205444,-0.588071
5.77,15.097342,6.207262,-0.592823
5.78,15.091421,6.218258,-0.592685
5.79,15.093813,6.223289,-0.592875
5.8,15.093607,6.219663,-0.593628
5.81,15.077634,6.214394,-0.582964
5.82,15.07182,6.188362,-0.604553
5.83,15.075951,6.19961,-0.586419
5.84,15.083542,6.205494,-0.585805
5.85,15.087002,6.205908,-0.585966
5.86,15.082878,6.209532,-0.583256
5.87,15.086698,6.210498,-0.586652
5.88,15.089309,6.206416,-0.582416
5.89,15.091974,6.214007,-0.582978
5.9,15.089263,6.208133,-0.582497
5.91,15.086843,6.197379,-0.579044
5.92,15.090145,6.202982,-0.578735
5.93,15.091549,6.208697,-0.579117
5.94,15.090203,6.210217,-0.578381
5.95,15.092418,6.209951,-0.576452
5.96,15.095523,6.21946,-0.580662
5.97,15.095752,6.208101,-0.580564
5.98,15.093045,6.203706,-0.575076
5.99,15.096826,6.212464,-0.581659
6,15.094716,6.213999,-0.581202
6.01,15.094341,6.214372,-0.578876
6.02,15.097735,6.218092,-0.575573
6.03,15.095254,6.212345,-0.583013
6.04,15.097901,6.223329,-0.595914
6.05,15.09577,6.219686,-0.594933
6.06,15.097211,6.227961,-0.605074
6.07,15.08952,6.219806,-0.589388
6.08,15.09858,6.216798,-0.593159
6.09,15.079923,6.196503,-0.602092
6.1,15.086597,6.227674,-0.603462
6.11,15.099526,6.239166,-0.597378
6.12,15.099265,6.230315,-0.601029
6.13,15.098431,6.233806,-0.599315
6.14,15.09961,6.222874,-0.59971
6.15,15.074776,6.19515,-0.605015
6.16,15.090482,6.22799,-0.602727
6.17,15.085196,6.2113,-0.588096
6.18,15.100667,6.225754,-0.593794
6.19,15.093933,6.218667,-0.583459
6.2,15.08922,6.20566,-0.582236
6.21,15.072622,6.196856,-0.587418
6.22,15.082083,6.209513,-0.594232
6.23,15.090443,6.210464,-0.581244
6.24,15.089013,6.208765,-0.580566
6.25,15.090907,6.209797,-0.578484
6.26,15.091359,6.203872,-0.580864
6.27,15.084367,6.205606,-0.58233
6.28,15.090192,6.21454,-0.581304
6.29,15.096802,6.208925,-0.576928
6.3,15.091006,6.219121,-0.577581
6.31,15.085014,6.213411,-0.582123
6.32,15.087234,6.204452,-0.582735
6.33,15.087721,6.202876,-0.583832
6.34,15.091298,6.208706,-0.584389
6.35,15.093858,6.2005,-0.579697
6.36,15.088993,6.204024,-0.582215
6.37,15.083952,6.21075,-0.592513
6.38,15.085634,6.208945,-0.583465
6.39,15.088498,6.218652,-0.586143
6.4,15.092005,6.209419,-0.585461
6.41,15.09076,6.210382,-0.584496
6.42,15.089845,6.208421,-0.589637
6.43,15.08679,6.206792,-0.588996
6.44,15.08871,6.20714,-0.588581
6.45,15.091391,6.206903,-0.578579
6.46,15.091905,6.202719,-0.583844
6.47,15.08231,6.201297,-0.601087
6.48,15.084984,6.203977,-0.585902
6.49,15.092679,6.196068,-0.583498
6.5,15.09473,6.199736,-0.586919
6.51,15.091979,6.201412,-0.574722
6.52,15.099267,6.208485,-0.602782
6.53,15.090777,6.207388,-0.582613
6.54,15.089949,6.208491,-0.579475
6.55,15.09677,6.204914,-0.578079
6.56,15.090183,6.197862,-0.581304
6.57,15.097035,6.219553,-0.596408
6.58,15.098866,6.211118,-0.591254
6.59,15.091368,6.198949,-0.581493
6.6,15.094394,6.203662,-0.584776
6.61,15.089684,6.201129,-0.58818
6.62,15.08615,6.200902,-0.586425
6.63,15.081178,6.205261,-0.589917
6.64,15.086704,6.198295,-0.585613
6.65,15.086148,6.20861,-0.575284
6.66,15.083684,6.206784,-0.584324
6.67,15.07788,6.210567,-0.581176
6.68,15.080038,6.205399,-0.581837
6.69,15.081964,6.202318,-0.580842
6.7,15.085319,6.21014,-0.580151
6.71,15.083595,6.207885,-0.573883
6.72,15.076454,6.199935,-0.573121
6.73,15.077953,6.202561,-0.572262
6.74,15.083833,6.203685,-0.578041
6.75,15.087803,6.206208,-0.570826
