%time,field.mx,field.my,field.fz,field.t,%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time
,,,,,1676941275973225700,-0.9609375,0.047119140625,-0.226318359375,-0.1145038167938931,-0.2900763358778626,-0.015267175572519,0.0,1676941275.036308
,,,,,1676941275973255700,-0.968505859375,0.0498046875,-0.2197265625,-0.1221374045801526,-0.2900763358778626,-0.0305343511450381,0.0,1676941275.0509307
,,,,,1676941275973287800,-0.963134765625,0.0556640625,-0.2421875,-0.1297709923664122,-0.2900763358778626,1.938931297709924,0.0,1676941275.0654774
,,,,,1676941275973299200,-0.982177734375,0.058349609375,-0.22412109375,-0.1450381679389313,-0.2595419847328244,-0.0076335877862595,0.0,1676941275.0804503
,,,,,1676941275973323700,-0.959228515625,0.0546875,-0.220458984375,-0.1374045801526717,-0.2900763358778626,-0.0305343511450381,0.0,1676941275.0949216
,,,,,1676941275973342200,-0.942626953125,0.055908203125,-0.231689453125,-0.1068702290076335,-0.2671755725190839,-0.0305343511450381,0.0,1676941275.110257
,,,,,1676941276141375900,-0.960693359375,0.05029296875,-0.2431640625,-0.1145038167938931,-0.2595419847328244,-0.0305343511450381,0.0,1676941275.1251304
,,,,,1676941276141406900,-0.9619140625,0.073486328125,-0.230224609375,-0.1297709923664122,-0.2748091603053435,-0.0458015267175572,0.0,1676941275.140123
,,,,,1676941276141421100,-0.96484375,0.056396484375,-0.22509765625,-0.1297709923664122,-0.2748091603053435,0.015267175572519,0.0,1676941275.1547153
,,,,,1676941276141480100,-0.957763671875,0.05517578125,-0.225830078125,-0.1374045801526717,-0.2442748091603053,-0.0229007633587786,0.0,1676941275.17724
,,,,,1676941276141487600,-0.9814453125,0.055419921875,-0.2275390625,-0.099236641221374,-0.2442748091603053,1.9465648854961832,0.0,1676941275.1918285
,,,,,1676941276141493300,-0.96240234375,0.05810546875,-0.22900390625,-0.1068702290076335,-0.2671755725190839,0.0,0.0,1676941275.2065482
,,,,,1676941276141498400,-0.9609375,0.057373046875,-0.2197265625,-0.1297709923664122,-0.2748091603053435,0.0305343511450381,0.0,1676941275.229202
,,,,,1676941276141578600,-0.95703125,0.059326171875,-0.22705078125,-0.1374045801526717,-0.2671755725190839,0.0076335877862595,0.0,1676941275.243929
,,,,,1676941276141595900,-0.960693359375,0.05615234375,-0.226806640625,-0.1145038167938931,-0.2671755725190839,1.9465648854961832,0.0,1676941275.2611084
,,,,,1676941276141610600,-0.957763671875,0.058349609375,-0.222412109375,-0.099236641221374,-0.2824427480916031,0.0,0.0,1676941275.2759664
,,,,,1676941276310104600,-0.958740234375,0.05859375,-0.2451171875,-0.1374045801526717,-0.2824427480916031,0.0229007633587786,0.0,1676941275.2906046
,,,,,1676941276310147000,-0.955078125,0.06982421875,-0.234375,-0.1297709923664122,-0.2900763358778626,0.0458015267175572,0.0,1676941275.3054752
,,,,,1676941276310214300,-0.96240234375,0.0576171875,-0.221435546875,-0.1374045801526717,-0.2671755725190839,0.015267175572519,0.0,1676941275.320409
,,,,,1676941276310238300,-0.96044921875,0.074462890625,-0.236083984375,-0.1221374045801526,-0.2900763358778626,0.0229007633587786,0.0,1676941275.3349514
,,,,,1676941276310509600,-0.958984375,0.053955078125,-0.230712890625,-0.1297709923664122,-0.2824427480916031,0.0076335877862595,0.0,1676941275.349731
,,,,,1676941276310547100,-0.9638671875,0.0478515625,-0.2333984375,-0.1221374045801526,-0.2977099236641221,0.0305343511450381,0.0,1676941275.3644226
,,,,,1676941276310559000,-0.966796875,0.060546875,-0.2421875,-0.1221374045801526,-0.2824427480916031,0.015267175572519,0.0,1676941275.379382
,,,,,1676941276310700600,-0.960205078125,0.046875,-0.220947265625,-0.1145038167938931,-0.2900763358778626,0.0305343511450381,0.0,1676941275.393974
,,,,,1676941276310725100,-0.959716796875,0.05908203125,-0.22412109375,-0.1374045801526717,-0.2900763358778626,0.0305343511450381,0.0,1676941275.4089384
,,,,,1676941276310918000,-0.965087890625,0.04833984375,-0.21923828125,-0.1297709923664122,-0.2977099236641221,0.0458015267175572,0.0,1676941275.423659
,,,,,1676941276310973200,-0.953369140625,0.05908203125,-0.224853515625,-0.1145038167938931,-0.2824427480916031,0.0076335877862595,0.0,1676941275.4382555
,,,,,1676941276311013400,-0.963623046875,0.052001953125,-0.226806640625,-0.1297709923664122,-0.2824427480916031,1.9465648854961832,0.0,1676941275.4528902
,,,,,1676941276479466800,-0.959228515625,0.06201171875,-0.228515625,-0.1221374045801526,-0.2977099236641221,0.015267175572519,0.0,1676941275.4675224
,,,,,1676941276479518200,-0.95947265625,0.065185546875,-0.2451171875,-0.1068702290076335,-0.2977099236641221,-0.0076335877862595,0.0,1676941275.4822798
,,,,,1676941276479573100,-0.96142578125,0.065673828125,-0.229736328125,-0.1297709923664122,-0.2900763358778626,-0.015267175572519,0.0,1676941275.4971476
,,,,,1676941276479579400,-0.959716796875,0.0595703125,-0.24462890625,-0.1526717557251908,-0.2671755725190839,0.015267175572519,0.0,1676941275.5128117
,,,,,1676941276479649200,-0.9580078125,0.05859375,-0.221435546875,-0.1297709923664122,-0.2748091603053435,-0.0381679389312977,0.0,1676941275.5280166
,,,,,1676941276479664700,-0.9599609375,0.066162109375,-0.232177734375,-0.1145038167938931,-0.2595419847328244,-0.0229007633587786,0.0,1676941275.543073
,,,,,1676941276479684100,-0.96142578125,0.052490234375,-0.237548828125,-0.099236641221374,-0.2595419847328244,-0.015267175572519,0.0,1676941275.5580597
