time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
12-58-08-327363,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-336365,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-347365,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-356401,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-367400,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-376670,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-386673,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-396194,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-406194,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-416198,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-427229,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-437226,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-446228,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-457192,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-467190,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-476197,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-486702,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-495708,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-505749,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-516711,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-526711,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-536708,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-545744,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-556709,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-566709,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-576715,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-585715,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-595920,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-605954,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-615957,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-626954,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-635956,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-646916,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-655917,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-665920,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-675931,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-685964,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-697195,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-707195,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-717193,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-727193,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-736230,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-746242,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-757234,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-08-767231,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
