%time,field.curr_pos1,field.curr_pos2,field.toff,field.t
1683143893289266700,4612,-3041,-453,43892.84765625
1683143893289280300,4612,-3042,-525,43892.85546875
1683143893289294700,4612,-3041,1650,43892.8671875
1683143893289314000,4612,-3042,746,43892.87890625
1683143893289521700,4612,-3041,-53,43892.88671875
1683143893289781500,4612,-3042,-2425,43892.8984375
1683143893360338600,4612,-3041,2238,43892.90625
1683143893360360700,4612,-3042,-1377,43892.91796875
1683143893360392500,4612,-3042,70,43892.92578125
1683143893360434500,4612,-3042,-1121,43892.9375
1683143893360444200,4612,-3042,-933,43892.9453125
1683143893360474100,4612,-3042,-1145,43892.95703125
1683143893360871500,4612,-3042,1222,43892.96875
1683143893407521900,4612,-3042,1446,43892.9765625
1683143893407591400,4612,-3042,-685,43892.98828125
1683143893407644800,4612,-3042,-1657,43892.99609375
1683143893407708000,4612,-3042,1758,43893.0078125
1683143893408042100,4612,-3042,742,43893.015625
1683143893469389900,4612,-3042,-2161,43893.02734375
1683143893469434000,4612,-3042,2050,43893.03515625
1683143893469444900,4612,-3042,2458,43893.046875
1683143893469452700,4612,-3042,1362,43893.05859375
1683143893470196400,4612,-3042,1450,43893.06640625
1683143893470432200,4612,-3042,-461,43893.078125
1683143893515557000,4612,-3042,290,43893.0859375
1683143893515605800,4612,-3042,-1161,43893.09765625
1683143893515637600,4612,-3042,-469,43893.109375
1683143893515817700,4612,-3042,-821,43893.1171875
1683143893561588700,4612,-3042,1610,43893.12890625
1683143893561646200,4612,-3042,1046,43893.13671875
1683143893561674200,4612,-3042,2402,43893.1484375
1683143893561870900,4612,-3042,242,43893.15625
1683143893561921400,4612,-3042,1490,43893.16796875
1683143893622898700,4612,-3042,-1305,43893.17578125
1683143893622948200,4612,-3042,-1521,43893.1875
1683143893622959900,4612,-3042,774,43893.1953125
1683143893623062200,4612,-3042,2218,43893.20703125
1683143893623381500,4612,-3042,1834,43893.21875
1683143893623766800,4612,-3042,1214,43893.2265625
1683143893683982700,4612,-3042,834,43893.23828125
