%time,field.curr_pos1,field.curr_pos2,field.toff,field.motor_fail,field.t
1685049529369979600,-480,242,253400,0,49529.44921875
1685049529370080600,-480,242,256000,0,49529.4609375
1685049529420351100,-480,242,239520,0,49529.46875
1685049529420431200,-480,242,253360,0,49529.48046875
1685049529420490700,-480,242,243600,0,49529.48828125
1685049529420824700,-480,242,255200,0,49529.5
1685049529420859900,-480,242,251120,0,49529.5078125
1685049529469411300,-480,242,256160,0,49529.51953125
1685049529469488000,-480,242,252800,0,49529.52734375
1685049529469532000,-480,242,252960,0,49529.5390625
1685049529469961600,-480,242,253440,0,49529.55078125
1685049529470007800,-480,242,256240,0,49529.55859375
1685049529520231400,-480,242,251200,0,49529.5703125
1685049529520246900,-480,242,250960,0,49529.578125
1685049529520257000,-480,242,256080,0,49529.58984375
1685049529520266900,-480,242,255440,0,49529.59765625
1685049529520271500,-480,242,252120,0,49529.609375
1685049529570878600,-480,242,253040,0,49529.6171875
1685049529570889900,-480,242,255760,0,49529.62890625
1685049529570893500,-480,242,253520,0,49529.640625
1685049529570971100,-480,242,255760,0,49529.6484375
1685049529570977900,-480,242,255520,0,49529.66015625
1685049529619744900,-480,242,253760,0,49529.66796875
1685049529619893600,-480,242,253840,0,49529.6796875
1685049529620052100,-480,242,257120,0,49529.6875
1685049529620157400,-480,242,252560,0,49529.69921875
1685049529620221100,-480,242,254720,0,49529.7109375
1685049529686827800,-480,242,255480,0,49529.71875
1685049529686863100,-480,242,253000,0,49529.73046875
1685049529686868500,-480,242,255520,0,49529.73828125
1685049529686878700,-480,242,255440,0,49529.75
1685049529686887100,-480,242,245520,0,49529.7578125
1685049529686899900,-480,242,252640,0,49529.76953125
1685049529687087800,-480,242,252560,0,49529.77734375
1685049529737711000,-480,242,249240,0,49529.7890625
1685049529737724000,-480,242,248880,0,49529.80078125
1685049529737739100,-469,242,251520,0,49529.80859375
1685049529737749000,-448,234,247840,0,49529.8203125
1685049529737841500,-427,211,251280,0,49529.828125
1685049529804714600,-412,185,252080,0,49529.83984375
1685049529804728200,-400,169,256640,0,49529.84765625
1685049529804756500,-394,162,252440,0,49529.859375
1685049529804799500,-397,161,256880,0,49529.8671875
1685049529805190800,-403,165,251120,0,49529.87890625
1685049529853636300,-409,171,255280,0,49529.890625
1685049529853653000,-410,173,251040,0,49529.8984375
1685049529853672400,-408,171,254400,0,49529.91015625
1685049529853676000,-407,168,252240,0,49529.91796875
1685049529853974400,-407,165,256840,0,49529.9296875
1685049529854129000,-406,162,259200,0,49529.94140625
1685049529854153500,-406,160,247920,0,49529.94921875
1685049529902910900,-405,160,248880,0,49529.9609375
1685049529902930700,-405,162,247120,0,49529.96875
1685049529902935900,-405,162,246800,0,49529.98046875
1685049529903009400,-405,162,247760,0,49529.98828125
1685049529952734800,-405,162,246480,0,49530.0
1685049529952772800,-405,162,246560,0,49530.0078125
1685049529952816300,-405,162,256640,0,49530.01953125
1685049529952829300,-405,162,254640,0,49530.02734375
1685049529952835700,-405,162,251040,0,49530.0390625
1685049529953132900,-405,162,250160,0,49530.05078125
1685049530003472100,-404,162,252880,0,49530.05859375
1685049530003521300,-404,162,253120,0,49530.0703125
1685049530003533700,-404,162,261760,0,49530.078125
1685049530003539000,-404,162,247680,0,49530.08984375
1685049530003543900,-404,162,254880,0,49530.09765625
1685049530055784600,-404,162,251360,0,49530.109375
1685049530055995600,-404,162,256240,0,49530.1171875
1685049530056012400,-404,162,254480,0,49530.12890625
1685049530056035500,-404,162,257680,0,49530.140625
1685049530056090400,-404,162,236560,0,49530.1484375
1685049530102210900,-404,162,257200,0,49530.16015625
1685049530102430800,-404,162,253360,0,49530.16796875
1685049530102610400,-404,162,255560,0,49530.1796875
1685049530102626700,-404,162,253440,0,49530.1875
1685049530102652300,-404,162,255120,0,49530.19921875
1685049530155019200,-404,162,255600,0,49530.2109375
1685049530155065500,-404,162,253520,0,49530.21875
1685049530155249500,-404,162,253520,0,49530.23046875
1685049530155328000,-404,162,257000,0,49530.23828125
1685049530204025900,-404,162,252120,0,49530.25
1685049530204030700,-404,162,252800,0,49530.2578125
1685049530204177400,-404,162,242800,0,49530.26953125
1685049530204207800,-404,162,258480,0,49530.27734375
1685049530204233800,-404,162,254400,0,49530.2890625
1685049530204564400,-404,162,253680,0,49530.30078125
1685049530254145900,-404,162,249280,0,49530.30859375
1685049530254454200,-404,162,252760,0,49530.3203125
1685049530254477100,-404,162,253680,0,49530.328125
1685049530254750900,-404,162,256800,0,49530.33984375
1685049530301830700,-404,162,250400,0,49530.34765625
1685049530301851200,-404,162,256400,0,49530.359375
1685049530301857300,-404,162,252720,0,49530.3671875
1685049530301865600,-404,162,256160,0,49530.37890625
1685049530301870800,-404,162,253960,0,49530.390625
1685049530302053400,-404,162,253600,0,49530.3984375
1685049530353400000,-404,162,250480,0,49530.41015625
1685049530353441300,-404,163,250280,0,49530.41796875
1685049530353474900,-404,163,254320,0,49530.4296875
1685049530353526000,-404,163,253360,0,49530.4375
1685049530401631800,-404,163,254480,0,49530.44921875
1685049530401662300,-404,163,254280,0,49530.4609375
1685049530401697100,-404,163,257040,0,49530.46875
1685049530401975000,-404,163,252160,0,49530.48046875
1685049530402017900,-404,163,251600,0,49530.48828125
1685049530454686000,-404,163,251840,0,49530.50390625
1685049530454765200,-404,163,256720,0,49530.51953125
1685049530454777700,-404,163,247360,0,49530.5234375
1685049530454943800,-404,163,250880,0,49530.53125
1685049530454971400,-404,163,244240,0,49530.5390625
1685049530455278200,-404,162,247200,0,49530.55078125
1685049530503793300,-404,163,246320,0,49530.55859375
1685049530503841800,-404,163,245520,0,49530.5703125
1685049530503911600,-404,163,246800,0,49530.578125
1685049530503916200,-404,163,243200,0,49530.58984375
1685049530503953900,-404,163,247400,0,49530.59765625
1685049530551764100,-404,163,243760,0,49530.609375
1685049530551769600,-404,163,245120,0,49530.6171875
1685049530551779500,-404,163,245760,0,49530.62890625
1685049530551789300,-404,163,244640,0,49530.640625
1685049530603322100,-404,163,248240,0,49530.6484375
1685049530603362400,-404,163,246320,0,49530.66015625
1685049530603376900,-404,163,245080,0,49530.66796875
1685049530603383000,-404,163,248280,0,49530.6796875
1685049530603388000,-404,163,246840,0,49530.6875
1685049530604001800,-404,163,250160,0,49530.69921875
1685049530653580700,-404,163,245520,0,49530.7109375
1685049530653593500,-404,163,245200,0,49530.71875
1685049530653610600,-404,163,246800,0,49530.73046875
1685049530654059500,-404,163,242800,0,49530.73828125
1685049530654110200,-404,163,255600,0,49530.75
1685049530703409100,-404,163,248240,0,49530.7578125
1685049530703614500,-404,163,238480,0,49530.76953125
1685049530703644400,-404,163,254080,0,49530.77734375
1685049530703786100,-404,163,242000,0,49530.7890625
1685049530703813800,-404,163,254400,0,49530.80078125
1685049530758228900,-404,163,249280,0,49530.80859375
1685049530758265900,-402,161,252480,0,49530.8203125
1685049530758288000,-389,148,252880,0,49530.828125
1685049530758379500,-362,123,252960,0,49530.83984375
1685049530812792500,-329,92,254760,0,49530.84765625
1685049530812846500,-297,60,257040,0,49530.859375
1685049530812905300,-272,30,252880,0,49530.8671875
