%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time,Time ms
1.67607E+18,-0.912109375,0.528320313,-0.185546875,15.38167939,1.351145038,-1.038167939,0,0,9174.94016
1.67607E+18,-0.822998047,-0.101074219,0.020019531,13.58778626,1.053435115,-3.580152672,0,0,9174.970112
1.67607E+18,-0.775634766,-0.227294922,-0.310791016,11.96183206,1.114503817,-5.34351145,0,0,9174.99008
1.67607E+18,-0.696289063,-0.126708984,-0.254638672,11.4351145,0.824427481,-6.854961832,0,0,9229.380096
1.67607E+18,-0.625,-0.043945313,-0.286132813,10.61832061,0.297709924,-8.030534351,0,0,9229.44
1.67607E+18,-0.521728516,-0.059326172,-0.254394531,9.610687023,-0.740458015,-9.259541985,0,0,9229.449984
1.67607E+18,-0.550537109,-0.064208984,-0.255126953,8.015267176,-1.954198473,-10.45038168,0,0,9229.459968
1.67607E+18,-0.562744141,0.047363281,-0.244384766,6.870229008,-2.824427481,-11.32061069,0,0,9229.470208
1.67607E+18,-0.684570313,-0.157226563,-0.211181641,4.984732824,-3.717557252,-12.57251908,0,0,9362.03008
1.67607E+18,-0.725585938,-0.160644531,-0.225830078,2.65648855,-4.519083969,-13.54198473,0,0,9362.050048
1.67607E+18,-0.746826172,-0.149658203,-0.211914063,0.633587786,-5.183206107,-14.35877863,0,0,9362.060032
1.67607E+18,-0.740966797,-0.129882813,-0.199462891,-1.824427481,-5.870229008,-15.30534351,0,0,9362.070016
1.67607E+18,-0.784667969,-0.127197266,-0.203857422,-3.748091603,-6.335877863,-16.15267176,0,0,9362.14016
1.67607E+18,-0.838623047,-0.119384766,-0.197998047,-5.305343511,-6.732824427,-16.9389313,0,0,9362.150144
1.67607E+18,-0.857666016,-0.131591797,-0.196777344,-6.969465649,-7.13740458,-17.63358779,0,0,9362.19008
1.67607E+18,-0.858886719,-0.100585938,-0.198730469,-8.198473282,-7.557251908,-18.14503817,0,0,9362.230016
1.67607E+18,-0.856689453,-0.093994141,-0.177978516,-9.290076336,-8.007633588,-18.54198473,0,0,9362.24
1.67607E+18,-0.879882813,-0.020996094,-0.186279297,-9.969465649,-8.419847328,-18.93129771,0,0,9362.30016
1.67607E+18,-0.901367188,-0.071777344,-0.162109375,-10.74045802,-8.717557252,-19.40458015,0,0,9362.30016
1.67607E+18,-0.928955078,-0.020019531,-0.149414063,-11.09923664,-8.923664122,-19.75572519,0,0,9362.320128
1.67607E+18,-0.954101563,-0.009277344,-0.149658203,-11.3129771,-9.061068702,-20.11450382,0,0,9362.360064
1.67607E+18,-0.96875,-0.012451172,-0.142822266,-11.41984733,-9.122137405,-20.54198473,0,0,9362.360064
1.67607E+18,-0.998046875,0.018798828,-0.147949219,-11.33587786,-9.13740458,-20.95419847,0,0,9496.440064
1.67607E+18,-1.032470703,0.007568359,-0.137939453,-11.16030534,-9,-21.23664122,0,0,9496.460032
1.67607E+18,-1.053466797,-0.003417969,-0.118652344,-11.03053435,-8.72519084,-21.54961832,0,0,9496.500224
1.67607E+18,-1.103027344,0.016357422,-0.097167969,-10.73282443,-8.374045802,-21.70229008,0,0,9496.550144
1.67607E+18,-1.168457031,0.023193359,-0.084228516,-10.3740458,-7.938931298,-21.80152672,0,0,9496.550144
1.67607E+18,-1.125,-0.065917969,-0.124511719,-10.14503817,-7.374045802,-21.86259542,0,0,9496.59008
1.67607E+18,-1.059326172,-0.099853516,-0.114013672,-10.07633588,-6.870229008,-21.73282443,0,0,9496.600064
1.67607E+18,-1.063476563,-0.098876953,-0.136230469,-9.893129771,-6.442748092,-21.3740458,0,0,9496.620032
1.67607E+18,-1.106933594,-0.120361328,-0.130371094,-9.801526718,-5.992366412,-21.15267176,0,0,9496.659968
1.67607E+18,-1.141113281,-0.1328125,-0.136230469,-9.893129771,-5.595419847,-20.92366412,0,0,9496.670208
1.67607E+18,-1.144042969,-0.137939453,-0.134765625,-10.02290076,-5.27480916,-20.63358779,0,0,9496.760064
1.67607E+18,-1.152587891,-0.181396484,-0.138427734,-10.29770992,-5.038167939,-20.21374046,0,0,9496.780032
1.67607E+18,-1.156494141,-0.233398438,-0.162597656,-10.69465649,-4.900763359,-19.58015267,0,0,9496.790016
1.67607E+18,-1.15234375,-0.241210938,-0.171142578,-11.01526718,-4.961832061,-18.76335878,0,0,9623.699968
1.67607E+18,-1.125976563,-0.255126953,-0.171386719,-11.29007634,-5.129770992,-17.70229008,0,0,9623.720192
1.67607E+18,-1.084228516,-0.2734375,-0.160644531,-11.54198473,-5.320610687,-16.35114504,0,0,9623.74016
1.67607E+18,-1.065185547,-0.277832031,-0.140869141,-11.74045802,-5.41221374,-14.90839695,0,0,9623.760128
1.67607E+18,-1.040771484,-0.248291016,-0.117431641,-11.98473282,-5.366412214,-13.38167939,0,0,9623.760128
1.67607E+18,-1.032714844,-0.302246094,-0.122558594,-12.50381679,-5.190839695,-11.81679389,0,0,9623.820032
