%time,field.mx,field.my,field.fz
1676072643693770200,-25.0,7.0,-190.12
1676072643744391100,-21.0,9.0,-196.0
1676072643744410400,-19.0,10.0,-194.04
1676072643744416900,-19.0,10.0,-194.04
1676072643744452600,-19.0,10.0,-188.16
1676072643744494700,-24.0,8.0,-188.16
1676072643793161600,-24.0,8.0,-188.16
1676072643793182000,-22.0,9.0,-194.04
1676072643793194300,-24.0,8.0,-188.16
1676072643793206900,-20.0,10.0,-197.96
1676072643793245200,-19.0,10.0,-188.16
1676072643793259400,-23.0,8.0,-188.16
1676072643793266100,-20.0,9.0,-190.12
1676072643793304400,-20.0,10.0,-197.96
1676072643793311300,-22.0,8.0,-188.16
1676072643793341800,-23.0,9.0,-194.04
1676072643843223000,-22.0,9.0,-196.0
1676072643900771800,-24.0,8.0,-188.16
1676072643900787700,-22.0,9.0,-196.0
1676072643900793900,-23.0,8.0,-188.16
1676072643900831900,-25.0,8.0,-192.07999999999998
1676072643900838500,-22.0,10.0,-197.96
1676072643900843900,-25.0,8.0,-192.07999999999998
1676072643900847200,-22.0,10.0,-197.96
1676072643900910500,-21.0,10.0,-197.96
1676072643900930200,-20.0,10.0,-196.0
1676072643949687700,-20.0,10.0,-190.12
1676072643949706500,-20.0,11.0,-192.07999999999998
1676072643949716700,-21.0,10.0,-197.96
1676072643949735400,-20.0,11.0,-190.12
1676072643949775300,-25.0,7.0,-190.12
1676072644035685100,-23.0,9.0,-196.0
1676072644086740600,-24.0,7.0,-192.07999999999998
1676072644086762000,-19.0,10.0,-190.12
1676072644086768900,-24.0,6.0,-188.16
1676072644086793400,-22.0,8.0,-196.0
1676072644086820700,-21.0,9.0,-197.96
1676072644086880100,-24.0,7.0,-190.12
1676072644086887400,-21.0,8.0,-197.96
1676072644142102800,-19.0,10.0,-190.12
1676072644142124600,-19.0,10.0,-190.12
1676072644142138500,-22.0,7.0,-188.16
1676072644142155700,-23.0,7.0,-194.04
1676072644199093700,-21.0,9.0,-197.96
1676072644199115100,-21.0,8.0,-188.16
1676072644199139900,-23.0,8.0,-194.04
1676072644199144600,-20.0,10.0,-197.96
1676072644199244600,-20.0,10.0,-194.04
1676072644199249800,-24.0,8.0,-192.07999999999998
1676072644244189600,-20.0,10.0,-197.96
1676072644244266800,-19.0,10.0,-190.12
1676072644244280900,-25.0,8.0,-192.07999999999998
1676072644244287000,-25.0,8.0,-188.16
1676072644244320800,-19.0,12.0,-190.12
1676072644290325500,-24.0,8.0,-192.07999999999998
1676072644290336800,-21.0,10.0,-197.96
1676072644290343300,-23.0,9.0,-194.04
1676072644290388300,-20.0,11.0,-196.0
1676072644342866000,-21.0,9.0,-188.16
1676072644342884500,-24.0,9.0,-192.07999999999998
1676072644342895900,-20.0,11.0,-197.96
1676072644342932000,-20.0,10.0,-197.96
1676072644397977000,-19.0,11.0,-197.96
1676072644397985200,-23.0,10.0,-194.04
1676072644398035700,-20.0,11.0,-197.96
1676072644398042100,-18.0,12.0,-192.07999999999998
1676072644398086800,-19.0,11.0,-197.96
1676072644398092800,-18.0,13.0,-192.07999999999998
1676072644445619700,-23.0,10.0,-194.04
1676072644445626600,-20.0,11.0,-197.96
1676072644445669100,-19.0,12.0,-190.12
1676072644445676100,-19.0,12.0,-192.07999999999998
1676072644491527900,-24.0,8.0,-192.07999999999998
1676072644491556600,-20.0,10.0,-197.96
1676072644491571800,-19.0,10.0,-188.16
1676072644491579700,-24.0,8.0,-192.07999999999998
1676072644553249400,-20.0,9.0,-197.96
1676072644553264300,-23.0,7.0,-188.16
1676072644553278700,-24.0,7.0,-194.04
1676072644553284700,-23.0,6.0,-188.16
1676072644553289100,-23.0,7.0,-194.04
1676072644553325200,-20.0,9.0,-197.96
1676072644597414900,-20.0,9.0,-197.96
1676072644597427900,-24.0,7.0,-192.07999999999998
1676072644597432200,-22.0,8.0,-196.0
1676072644597436100,-19.0,10.0,-194.04
1676072644644437100,-19.0,8.0,-188.16
1676072644644457900,-19.0,10.0,-197.96
1676072644644482000,-19.0,8.0,-188.16
1676072644644495300,-24.0,7.0,-192.07999999999998
1676072644644506900,-22.0,7.0,-188.16
1676072644690734400,-21.0,9.0,-197.96
1676072644690756600,-20.0,10.0,-190.12
1676072644690785600,-21.0,8.0,-188.16
1676072644690791400,-23.0,7.0,-190.12
1676072644738015600,-23.0,8.0,-194.04
1676072644738040600,-20.0,10.0,-197.96
1676072644738061900,-20.0,10.0,-194.04
1676072644738089400,-20.0,11.0,-192.07999999999998
1676072644738109300,-22.0,9.0,-196.0
1676072644738117300,-20.0,10.0,-197.96
1676072644797576800,-19.0,10.0,-188.16
1676072644797596800,-21.0,10.0,-197.96
1676072644797604100,-25.0,8.0,-190.12
1676072644797666200,-21.0,10.0,-197.96
1676072644845869100,-20.0,9.0,-188.16
1676072644845898100,-25.0,8.0,-188.16
1676072644845904800,-21.0,11.0,-197.96
1676072644845949800,-21.0,9.0,-188.16
1676072644914349700,-23.0,10.0,-194.04
1676072644914365200,-20.0,11.0,-197.96
1676072644914378500,-21.0,11.0,-197.96
1676072644914383000,-23.0,9.0,-194.04
1676072644914387100,-19.0,11.0,-197.96
1676072644968517000,-23.0,9.0,-188.16
1676072644968540800,-23.0,9.0,-194.04
1676072644968547100,-24.0,8.0,-190.12
1676072644968551600,-19.0,12.0,-192.07999999999998
1676072644968576600,-23.0,8.0,-188.16
1676072644968590000,-22.0,9.0,-196.0
1676072644968597500,-20.0,9.0,-197.96
1676072644968609500,-19.0,10.0,-190.12
1676072644968613800,-24.0,7.0,-192.07999999999998
1676072644968642500,-20.0,9.0,-197.96
1676072645013454400,-19.0,10.0,-197.96
1676072645013479400,-19.0,9.0,-197.96
1676072645013486700,-23.0,8.0,-194.04
1676072645013497300,-20.0,9.0,-197.96
1676072645059120200,-21.0,7.0,-188.16
1676072645107696700,-25.0,7.0,-192.07999999999998
1676072645107719800,-20.0,8.0,-188.16
1676072645107727500,-24.0,6.0,-192.07999999999998
1676072645168640200,-21.0,8.0,-197.96
1676072645168654800,-19.0,7.0,-188.16
1676072645168660000,-20.0,6.0,-186.2
1676072645168665900,-21.0,7.0,-196.0
1676072645168670600,-23.0,5.0,-188.16
1676072645168675200,-22.0,7.0,-194.04
1676072645168691400,-19.0,8.0,-197.96
1676072645168732000,-19.0,8.0,-197.96
1676072645168758600,-24.0,6.0,-190.12
1676072645168815000,-20.0,8.0,-196.0
1676072645228771500,-20.0,9.0,-196.0
1676072645228784100,-23.0,7.0,-192.07999999999998
1676072645228789300,-22.0,8.0,-194.04
1676072645228856900,-19.0,10.0,-197.96
1676072645228883200,-22.0,8.0,-188.16
1676072645278476700,-23.0,8.0,-192.07999999999998
1676072645278500900,-23.0,9.0,-194.04
1676072645278522600,-21.0,9.0,-188.16
1676072645278558800,-24.0,9.0,-194.04
1676072645339474800,-20.0,12.0,-197.96
1676072645339481200,-22.0,9.0,-188.16
1676072645339485000,-21.0,11.0,-197.96
1676072645339534900,-21.0,10.0,-188.16
1676072645412905600,-25.0,9.0,-192.07999999999998
1676072645412931800,-22.0,11.0,-197.96
1676072645412960700,-25.0,10.0,-196.0
1676072645412969400,-21.0,11.0,-188.16
1676072645413052200,-24.0,10.0,-197.96
1676072645413063900,-21.0,12.0,-192.07999999999998
1676072645413072000,-25.0,8.0,-194.04
1676072645413101000,-25.0,7.0,-190.12
1676072645413142600,-21.0,10.0,-197.96
1676072645413149200,-23.0,7.0,-188.16
1676072645463025600,-24.0,8.0,-194.04
1676072645463045100,-24.0,7.0,-190.12
1676072645463052100,-23.0,7.0,-188.16
