%time,field.mode,field.duration,field.motor1_move,field.motor2_move,field.motor1_torque,field.motor2_torque,field.PF_cmd,field.EV_cmd,field.PF_curr,field.EV_curr,field.CPU0,field.CPU1,field.CPU2,field.CPU3,field.t,field.valid
1683919320786283500,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,33.29999923706055,33.29999923706055,0.0,19321.19921875,0.0
1683919320786287000,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,33.29999923706055,33.29999923706055,0.0,19321.208984375,0.0
1683919320837378900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,33.29999923706055,33.29999923706055,0.0,19321.21875,0.0
1683919320837394800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,33.29999923706055,33.29999923706055,0.0,19321.228515625,0.0
1683919320837398900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,33.29999923706055,33.29999923706055,0.0,19321.23828125,0.0
1683919320837404100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19321.248046875,0.0
1683919320837427900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19321.2578125,0.0
1683919320837502500,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19321.26953125,0.0
1683919320905199100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19321.279296875,0.0
1683919320905216400,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19321.2890625,0.0
1683919320905244200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19321.298828125,0.0
1683919320905323500,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19321.30859375,0.0
1683919320905384200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19321.318359375,0.0
1683919320905397700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19321.328125,0.0
1683919321016089100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19321.337890625,0.0
1683919321016095200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469727,0.0,19321.34765625,0.0
1683919321016166800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469727,0.0,19321.359375,0.0
1683919321016204700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469727,0.0,19321.369140625,0.0
1683919321016209500,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469727,0.0,19321.37890625,0.0
1683919321016296700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469727,0.0,19321.388671875,0.0
1683919321016308100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469727,0.0,19321.3984375,0.0
1683919321134985900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469727,0.0,19321.408203125,0.0
1683919321134999100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469727,0.0,19321.41796875,0.0
1683919321135058100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469727,0.0,19321.427734375,0.0
1683919321135062000,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469727,0.0,19321.439453125,0.0
1683919321135132100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,19321.44921875,0.0
1683919321135145200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,19321.458984375,0.0
1683919321135197400,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,19321.46875,0.0
1683919321135276900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,19321.478515625,0.0
1683919321135289800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,19321.48828125,0.0
1683919321135346100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,19321.498046875,0.0
1683919321135368900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,19321.5078125,0.0
1683919321135448600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,19321.517578125,0.0
1683919321135462400,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,19321.529296875,0.0
1683919321135505000,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,19321.5390625,0.0
1683919321135571000,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19321.548828125,0.0
1683919321135585900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19321.55859375,0.0
