%time,field.mx,field.my,field.fz,
1.67608E+18,-30,0,-190.12,6191.69024
1.67608E+18,-35,-1,-192.08,6191.720192
1.67608E+18,-41,1,-194.04,6191.730176
1.67608E+18,-43,6,-196,6191.730176
1.67608E+18,-45,10,-197.96,6191.79008
1.67608E+18,-43,15,-197.96,6191.810048
1.67608E+18,-43,15,-201.88,6191.830016
1.67608E+18,-40,16,-199.92,6191.849984
1.67608E+18,-40,16,-199.92,6240.690176
1.67608E+18,-43,15,-203.84,6240.720128
1.67608E+18,-40,16,-203.84,6240.730112
1.67608E+18,-39,19,-207.76,6240.760064
1.67608E+18,-37,22,-207.76,6240.790016
1.67608E+18,-33,27,-211.68,6287.190016
1.67608E+18,-31,29,-213.64,6287.2
